"","Cprod","Fprod","Infra","Lprod","Nat","Econ","Production"
"Meat",0,0,0,0,0,0,0
"Cereal",0,0,0,0,0,0,0
"Recreation",0.1,0.1,0,0.1,0.1,0,0.0413
"Timber",0.2,0.6,0.1,0.2,0.05,0.1,8.419
