"","Cprod","Fprod","Infra","Lprod","Nat","Econ","Production"
"Meat",0,0,0,0,0,0,0
"Cereal",0.8,0.2,0.5,0.2,0,0.5,1.22943139390404
"Recreation",0,0,0,0,0,0,0
"Timber",0,0,0,0,0,0,0
