"","Cprod","Fprod","Infra","Lprod","Nat","Econ","Production"
"Meat",0.6,0.2,0.4,0.5,0,0.4,0.812478508346714
"Cereal",0,0,0,0,0,0,0
"Recreation",0,0,0,0,0,0,0
"Timber",0,0,0,0,0,0,0
