"","Cprod","Fprod","Lprod","Infra","Econ","Nat"
"C_Cereal",0.8,0.2,0.2,0.5,0.5,0
"NC_Cereal",0.5,0.1,0.1,0.3,0.2,0.05
"C_Livestock",0.6,0.2,0.5,0.4,0.4,0
"NC_Livestock",0.3,0.1,0.4,0.2,0.1,0.05
"VLI_Livestock",0.1,0.1,0.1,0,0,0.1
"Forester",0.2,0.6,0.2,0.1,0.1,0.05
