"","Cprod","Fprod","Infra","Lprod","Nat","Econ","Production"
"Meat",0.1,0.1,0,0.1,0.1,0,0.00812478508346714
"Cereal",0,0,0,0,0,0,0
"Recreation",0.1,0.1,0,0.1,0.1,0,0.0826
"Timber",0,0,0,0,0,0,0
