"x","y","Cprod","Infra","Econ","Lprod","Nat","Fprod","FR"
1682,1589,0.468692554354242,0.58228789783646,0.66261710954083,0.314947850052054,0.406493424332344,0.313503647917808,"Forester"
1683,1587,0.467449661551811,0.554325598001748,0.66261710954083,0.308610833660888,0.406490147255689,0.332027703519648,"Forester"
1683,1589,0.471367003200977,0.556910310659822,0.684403697973904,0.313643965843908,0.405989090608465,0.313741953702385,"Forester"
1683,1590,0.468692554354242,0.570541108756227,0.669658938167875,0.315923571481671,0.405787613326768,0.304261656694101,"Forester"
1684,1581,0.471483209306458,0.57569970675531,0.719845156508498,0.296834600362266,0.407181346883469,0.394773718159719,"Forester"
1684,1583,0.475230445852243,0.530118407260811,0.660006027412249,0.300931057422468,0.406932439709115,0.373561212409475,"C_Cereal"
1684,1586,0.472681214192675,0.531666736710351,0.664790280248285,0.305665012621371,0.406303296016137,0.342627706936858,"C_Livestock"
1684,1587,0.472403579081052,0.532782006773665,0.664790280248285,0.30643965086865,0.406036250041897,0.332772371399552,"C_Cereal"
1684,1588,0.474765956414771,0.533905168429463,0.748301804616774,0.308396449661297,0.405795095095095,0.323237081787427,"C_Cereal"
1684,1589,0,0.537957830590547,0.664790280248285,0.311317507141359,0.405503507203179,0.314068236900718,"Forester"
1684,1590,0.472403579081052,0.546845355812189,0.669658938167875,0.313784072770153,0.405289758711374,0.304381552994828,"Forester"
1685,1575,0.475485670504204,0.510523381169104,0.667430132983937,0.286946244794747,0.407809275213675,0.474174532417301,"C_Livestock"
1685,1576,0.474746795304268,0.529076291210684,0.752584045719253,0.290208087967009,0.407761408547008,0.461550253642614,"C_Livestock"
1685,1579,0.475230445852243,0.573804398759766,0.752581496321662,0.29367804733377,0.407326688413184,0.421996216830875,"NC_Cereal"
1685,1580,0.473674108100554,0.588444625682406,0.752581496321662,0.293212600262902,0.407125887533875,0.409067817723662,"C_Livestock"
1685,1581,0.474765956414771,0.573804398759766,0.752581496321662,0.294582643124225,0.406950867514843,0.396876382511153,"NC_Livestock"
1685,1582,0.474765956414771,0.549652082869377,0.724830384339401,0.296177262808796,0.406784762680237,0.385430300550474,"C_Livestock"
1685,1583,0.477138215789747,0.528694071861578,0.724830384339401,0.298245595734472,0.406617700542005,0.375150305313618,"C_Cereal"
1685,1584,0.475320523170673,0.510864212929143,0.719845156508498,0.300525481715852,0.406387330289193,0.364700088098224,"Forester"
1685,1585,0.473674108100554,0.511842070072096,0.853690749632942,0.30250618194958,0.406132377777777,0.353561127998686,"C_Cereal"
1685,1586,0.475230445852243,0.512825988664829,0.724830384339401,0.303046236045652,0.405897841654059,0.343669849537813,"C_Cereal"
1685,1587,0.474765956414771,0.513816044322788,0.724830384339401,0.303361199543863,0.405601695994637,0.333424408647958,"C_Cereal"
1685,1588,0.475230445852243,0.514812314084677,0.724830384339401,0.304955795208259,0.405334822822822,0.323680641882234,"C_Cereal"
1685,1589,0,0.518400445625603,0.664790280248285,0.308084526602526,0.405021687034277,0.314304846999559,"C_Livestock"
1685,1590,0.472900361019441,0.526231831328933,0.669658938167875,0.310740142055814,0.40478836226167,0.304411431825805,"NC_Cereal"
1686,1574,0.470036042986812,0.500578882013556,0.667430132983937,0.282129671613591,0.408051620995228,0.490517566089933,"Forester"
1686,1575,0.474333056010874,0.517941097578707,0.737285169984716,0.28373978452475,0.407986807521367,0.477425410656208,"C_Livestock"
1686,1579,0.474746795304268,0.571967265329095,0.775916759084916,0.290690074174348,0.407281981963587,0.424573605382444,"Forester"
1686,1580,0.472403579081052,0.586391881765663,0.692479450060291,0.289841768080301,0.40702644817642,0.411533615144636,"C_Livestock"
1686,1581,0.472681214192675,0.571967265329095,0.692479450060291,0.290835576961293,0.406798654434251,0.399216737799562,"C_Livestock"
1686,1582,0,0.548072973367646,0.724830384339401,0.292084858647051,0.406582233775059,0.387712568802581,"C_Livestock"
1686,1583,0.473599875546577,0.531084341834343,0.748301804616774,0.293957713017097,0.406367529092451,0.377189004418823,"Forester"
1686,1584,0.475230445852243,0.512949408435241,0.724830384339401,0.296179165541054,0.406103095552173,0.366364445952173,"C_Livestock"
1686,1585,0.475230445852243,0.50575620757135,0.724830384339401,0.298182902285826,0.405818251134644,0.35503138420274,"C_Cereal"
1686,1586,0.475230445852243,0.495986170141609,0.724830384339401,0.298742791586084,0.405544145015105,0.344940389135525,"C_Livestock"
1686,1587,0.474746795304268,0.49687628972488,0.748301804616774,0.299067542543352,0.405211491298527,0.334487325030166,"C_Cereal"
1686,1589,0.472681214192675,0.500990574298775,0.724830384339401,0.303642947973148,0.404568549603174,0.314936800613487,"Forester"
1686,1590,0.471367003200977,0.507990206854741,0.669658938167875,0.306491755313992,0.404308246184146,0.304827864183221,"Forester"
1687,1574,0.472923608940226,0.504276359634616,0.675987830855176,0.280229551942499,0.4083766260454,0.493674555270371,"Forester"
1687,1575,0.4725335530474,0.522071567327642,0.865722765433914,0.281710615307631,0.408247070707071,0.480792922152422,"Forester"
1687,1576,0.473891144525289,0.542116681503031,0.737285169984716,0.284476297415369,0.408070659818524,0.468279846580102,"C_Livestock"
1687,1577,0.474333056010874,0.565064104598275,0.675987830855176,0.286956913823235,0.407832384957265,0.45482001319869,"C_Livestock"
1687,1579,0,0.57011574854101,0.760412317248856,0.288573445268854,0.407279091342876,0.428039419786811,"C_Livestock"
1687,1580,0.475485670504204,0.584404074793762,0.737285169984716,0.28813250138001,0.406969019168787,0.414952738689225,"C_Livestock"
