"","Cprod","Fprod","Infra","Lprod","Nat","Econ","Production"
"Meat",0,0,0,0,0,0,0
"Cereal",0.5,0.1,0.3,0.1,0.05,0.2,0.737658836342425
"Recreation",0.1,0.1,0,0.1,0.1,0,0.0413
"Timber",0,0,0,0,0,0,0
