"aftParamId","givingIn","givingInDistributionMean","givingInDistributionSD","givingUp","givingUpDistributionMean","givingUpDistributionSD","serviceLevelNoiseMin","serviceLevelNoiseMax","productionCsvFile","givingUpProb"
0,0.1,0.1,0.3,0,0,0.3,0,0.1,"../_BLwX//production/C_Cereal/AftProduction_C_Cereal_mono_medium.csv",0.2
1,0.1,0.1,0.3,0.1,0,0.3,0,0.1,"../_BLwX//production/C_Cereal/AftProduction_C_Cereal_mono_medium.csv",0.2
